shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_11,43.4623344132232,-3.79822242558483,1,18
Route_11,43.4621012159322,-3.8006669495042,2,217
Route_11,43.4620332552229,-3.80137066164877,3,275
Route_11,43.4619759411211,-3.80183964346882,4,313
Route_11,43.4619475435155,-3.80203705283129,5,330
Route_11,43.4619380197536,-3.80211109617635,6,336
Route_11,43.4619639891912,-3.80225977822607,7,348
Route_11,43.4619632952002,-3.80235866145949,8,356
Route_11,43.461934115667,-3.80266731410064,9,381
Route_11,43.4619057166363,-3.80286472291876,10,398
Route_11,43.4618582683704,-3.80321021770084,11,426
Route_11,43.4618087334787,-3.80385236077418,12,478
Route_11,43.4617512352927,-3.80434605907611,13,519
Route_11,43.4616849056074,-3.80481491626384,14,557
Route_11,43.4615949919737,-3.80607459377488,15,660
Route_11,43.4615349513019,-3.80693154772552,16,729
Route_11,43.4615474648047,-3.80693277778687,17,729
Route_11,43.461523245891,-3.80730978642463,18,760
Route_11,43.4614534968416,-3.80826068948025,19,837
Route_11,43.461431381157,-3.80884138255948,20,884
Route_11,43.4614806771217,-3.80950955833761,21,939
Route_11,43.4615408118557,-3.80991828922283,22,972
Route_11,43.4618126443541,-3.81094792510899,23,1061
Route_11,43.4619088752436,-3.8113447809636,24,1095
Route_11,43.461905804034,-3.8117773937231,25,1130
Route_11,43.4617804154777,-3.81295005927073,26,1226
Route_11,43.461674869959,-3.81386339498514,27,1301
Route_11,43.46157134302,-3.81449244082598,28,1353
Route_11,43.4614188283383,-3.81567709092173,29,1450
Route_11,43.4612797191858,-3.81624384508654,30,1498
Route_11,43.4609455275783,-3.81764854086492,31,1618
Route_11,43.4605378746587,-3.81925000935326,32,1755
Route_11,43.4602420550769,-3.82032143819981,33,1848
Route_11,43.4600751140606,-3.82099904454954,34,1906
Route_11,43.4598809812302,-3.82170100108073,35,1967
Route_11,43.4594828093575,-3.82322837667937,36,2098
Route_11,43.4590576962592,-3.82474300497993,37,2229
Route_11,43.4590469092357,-3.82499007738942,38,2249
Route_11,43.4590091115563,-3.82523678225228,39,2270
Route_11,43.4587516613716,-3.8259749334725,40,2336
Route_11,43.4586779374173,-3.8262087863174,41,2356
Route_11,43.4586951401659,-3.82632026855408,42,2366
Route_11,43.4586583225727,-3.82643101489634,43,2375
Route_11,43.4585855807474,-3.82652891075991,44,2387
Route_11,43.4585394020788,-3.82668897261138,45,2401
Route_11,43.4582519796462,-3.82783460925598,46,2499
Route_11,43.4581334141211,-3.8280431242773,47,2520
Route_11,43.4580405149761,-3.82843740013808,48,2554
Route_11,43.4580112652869,-3.82874601923764,49,2579
Route_11,43.4578535470477,-3.82938662147396,50,2634
Route_11,43.4574033188188,-3.83062888840709,51,2746
Route_11,43.4573107701855,-3.8309737179732,52,2775
Route_11,43.4573013176066,-3.83103539147655,53,2781
Route_11,43.4573006886496,-3.83112190703718,54,2788
Route_11,43.4572548630777,-3.83123252449673,55,2798
Route_11,43.4571915699255,-3.83126873896813,56,2806
Route_11,43.4571372801252,-3.83130507674061,57,2812
Route_11,43.4570375240849,-3.83140259410073,58,2826
Route_11,43.4568926612492,-3.83151185340391,59,2844
Route_11,43.4567474386641,-3.83167054919433,60,2865
Route_11,43.4566656890416,-3.83176831221703,61,2877
Route_11,43.4565382030001,-3.83196433135714,62,2898
Route_11,43.4564280935533,-3.8322471109637,63,2924
Route_11,43.4564172904072,-3.83249417109018,64,2944
Route_11,43.456361830027,-3.83269117651501,65,2961
Route_11,43.4562352428008,-3.83276360128834,66,2976
Route_11,43.4561362958538,-3.83274988269669,67,2987
Route_11,43.4560286156193,-3.83269896326436,68,3000
Route_11,43.4559479454454,-3.83264841472513,69,3010
Route_11,43.4559040087576,-3.83249948795797,70,3023
Route_11,43.4558868119982,-3.83238800920188,71,3032
Route_11,43.4557605849337,-3.83241099786772,72,3046
Route_11,43.4554797705903,-3.83264198916148,73,3083
Route_11,43.4552798059632,-3.83289880863028,74,3113
Route_11,43.4551140525096,-3.8334032992478,75,3158
Route_11,43.4548183720002,-3.83443748513931,76,3248
Route_11,43.4543103641254,-3.83618561629901,77,3400
Route_11,43.4542725424726,-3.83643229460405,78,3420
Route_11,43.4542208306214,-3.83734621933137,79,3495
Route_11,43.4542822570566,-3.83879318482955,80,3612
Route_11,43.4547268109329,-3.84078930240858,81,3781
Route_11,43.4548041131604,-3.84129713723975,82,3823
Route_11,43.4547935634516,-3.84150711237822,83,3840
Route_11,43.4545872968764,-3.84261665518686,84,3932
Route_11,43.4542978912864,-3.84400931386066,85,4050
Route_11,43.4541951124635,-3.84451464250467,86,4092
Route_11,43.4539507920069,-3.8458955518002,87,4207
Route_11,43.4536053723591,-3.84633569020378,88,4259
Route_11,43.4531965615269,-3.84682437794363,89,4320
Route_11,43.4525963882719,-3.84761937765565,90,4412
Route_11,43.4516058554363,-3.84884148363479,91,4560
Route_11,43.4513882153478,-3.84904854855978,92,4590
Route_11,43.4510809087832,-3.84920491971328,93,4626
Route_11,43.4506378174548,-3.84945826251532,94,4679
Route_11,43.450411723993,-3.84959104846766,95,4707
Route_11,43.4503209559109,-3.84968865096252,96,4719
Route_11,43.4502022590742,-3.84990945351255,97,4742
Route_11,43.4494322754364,-3.85174015848235,98,4913
Route_11,43.4493130220884,-3.85203509978932,99,4940
Route_11,43.4491662973169,-3.8523914487576,100,4973
Route_11,43.4490298651497,-3.85257491593186,101,4994
Route_11,43.4490381311499,-3.85267390334705,102,5002
Route_11,43.4490016569706,-3.85273518534124,103,5009
Route_11,43.4489563637981,-3.85277162553789,104,5015
Route_11,43.4489547965177,-3.85298170469065,105,5032
Route_11,43.4488890987533,-3.85333918870944,106,5061
Route_11,43.4486658199892,-3.85430003792293,107,5143
Route_11,43.4485333984131,-3.85515093133899,108,5213
Route_11,43.4483411185997,-3.85677957900791,109,5347
Route_11,43.4482651084399,-3.85730993215398,110,5391
Route_11,43.4481905793083,-3.85764256512405,111,5419
Route_11,43.4476420244336,-3.85994587527891,112,5615
Route_11,43.4476176007629,-3.86079827390163,113,5684
Route_11,43.4475862161654,-3.86137868351502,114,5731
Route_11,43.4475827702032,-3.86183590324062,115,5768
Route_11,43.4476224745108,-3.86254090844371,116,5825
Route_11,43.4476726705781,-3.86304832573031,117,5867
Route_11,43.4478038007685,-3.86356925422052,118,5911
Route_11,43.4478383202638,-3.86376748406554,119,5928
Route_11,43.4478642096584,-3.86391615659389,120,5940
Route_11,43.447890192258,-3.86405247190206,121,5951
Route_11,43.4479246174893,-3.86426305964203,122,5969
Route_11,43.4479596964093,-3.86438714611595,123,5980
Route_11,43.4480317228158,-3.86438817206292,124,5988
Route_11,43.4480947459207,-3.86438906976964,125,5995
Route_11,43.4481301050406,-3.864476084489,126,6003
Route_11,43.448156460793,-3.8645629710389,127,6010
Route_11,43.448128796679,-3.86464908796588,128,6018
Route_11,43.4480652127735,-3.86472233425484,129,6027
Route_11,43.4480290126282,-3.86474653582247,130,6032
Route_11,43.4479732165828,-3.86498055585645,131,6052
Route_11,43.4478342389597,-3.86549763872576,132,6096
Route_11,43.4477138272495,-3.86594083235016,133,6135
Route_11,43.4476305507295,-3.86623625093774,134,6160
Route_11,43.447574470671,-3.86650733983903,135,6183
Route_11,43.4476192061558,-3.86654505446201,136,6189
Route_11,43.4476458413625,-3.86659486929226,137,6194
Route_11,43.4476542825952,-3.86666914158813,138,6200
Route_11,43.4476449045638,-3.86671844215052,139,6204
Route_11,43.4476175199198,-3.86676748550793,140,6209
Route_11,43.4475723160549,-3.86679155707655,141,6214
Route_11,43.4475183899735,-3.86677842822994,142,6220
Route_11,43.4474634332049,-3.86690122913888,143,6232
Route_11,43.4474176670369,-3.86699944397934,144,6242
Route_11,43.4473160062084,-3.86734403115932,145,6272
Route_11,43.4471033966775,-3.86807014474752,146,6335
Route_11,43.4469828811892,-3.86852568494058,147,6374
Route_11,43.446853360607,-3.86898109437988,148,6414
Route_11,43.4467240261794,-3.86941178767259,149,6451
Route_11,43.4466133548461,-3.86975623774294,150,6482
Route_11,43.4464467814811,-3.87034705264777,151,6533
Route_11,43.4460311828774,-3.87171286307699,152,6653
Route_11,43.4457817782214,-3.87253728300801,153,6725
Route_11,43.4454215900934,-3.87371848884483,154,6829
Route_11,43.445219266788,-3.87427169188894,155,6879
Route_11,43.4449270971365,-3.87479888002506,156,6932
Route_11,43.4447271336006,-3.87504315831586,157,6962
Route_11,43.4444727714292,-3.87533608238115,158,6999
Route_11,43.4443635966259,-3.8754828032401,159,7016
Route_11,43.4442276010816,-3.87560442076885,160,7034
Route_11,43.4440466836627,-3.8757130316957,161,7056
Route_11,43.4438382829655,-3.87588303462443,162,7083
Route_11,43.4437839792694,-3.8759193244568,163,7090
Route_11,43.4437653099582,-3.87600555984632,164,7097
Route_11,43.4437194413558,-3.87611611821324,165,7107
Route_11,43.443628935068,-3.87617660076638,166,7118
Route_11,43.443565912111,-3.87617569096299,167,7125
Route_11,43.4434759740144,-3.87616203484309,168,7135
Route_11,43.4434222384283,-3.87612418584351,169,7142
Route_11,43.4430943314877,-3.87661376031779,170,7196
Route_11,43.4428121972318,-3.87700512988433,171,7241
Route_11,43.4427028307018,-3.87717655623211,172,7259
Route_11,43.4427557125773,-3.87732561200058,173,7272
Route_11,43.4427361886618,-3.87752305174499,174,7289
Route_11,43.442645302222,-3.87763295616094,175,7302
Route_11,43.4425909979788,-3.87766924372298,176,7309
Route_11,43.4425009652023,-3.87766794183834,177,7319
Route_11,43.4424113118561,-3.87761721522249,178,7329
Route_11,43.4423311359943,-3.87750483808893,179,7342
Route_11,43.4423137933051,-3.87741808460745,180,7349
Route_11,43.4421245347825,-3.87744006371863,181,7371
Route_11,43.4419980146843,-3.87750002209152,182,7385
Route_11,43.4418708305845,-3.87764647274005,183,7404
Route_11,43.4417981403206,-3.87773192370131,184,7414
Route_11,43.441653234011,-3.87784104486475,185,7433
Route_11,43.4414729786776,-3.87786315266254,186,7453
Route_11,43.4405819386238,-3.87781319449146,187,7552
Route_11,43.4401318694567,-3.87779432879733,188,7602
Route_11,43.4399341767362,-3.8777420417775,189,7624
