stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
139521,PA545,JOSE MARIA GONZALEZ TREVILLA 14,Parada,43.4832668888182,-3.79635652829939,,,,,Europe/Madrid
83969,PA328,ARSENIO ODRIOZOLA 16,Parada,43.4836234589449,-3.79280673918369,,,,,Europe/Madrid
84481,PA330,DOCTOR DIEGO MADRAZO,Parada,43.4825165537011,-3.79582829766315,,,,,Europe/Madrid
51201,PA200,CONSUELO BERGÉS 16,Parada,43.4794669200316,-3.79808730539511,,,,,Europe/Madrid
51457,PA201,CONCHA ESPINA 18,Parada,43.4790910606303,-3.79712270575665,,,,,Europe/Madrid
42753,PA167,MANUEL GONZALEZ HOYOS 39,Parada,43.4806304361972,-3.7956863101187,,,,,Europe/Madrid
43009,PA168,VALDENOJA 25,Parada,43.4808153048354,-3.79265179550503,,,,,Europe/Madrid
43265,PA169,VALDENOJA 3,Parada,43.4810943143148,-3.78984650762866,,,,,Europe/Madrid
130817,PA511,INTERCAMBIADOR DEL SARDINERO 1,Parada,43.4774244857128,-3.79076746568858,,,,,Europe/Madrid
7425,PA29,PLAZA DOCTOR FLEMING,Parada,43.4756419323499,-3.78882341385226,,,,,Europe/Madrid
7681,PA30,PIQUIO,Parada,43.4735579725986,-3.78450824587367,,,,,Europe/Madrid
7937,PA31,PLAZA DE ITALIA,Parada,43.4718115656364,-3.78191106122666,,,,,Europe/Madrid
8193,PA32,REINA VICTORIA 129,Parada,43.4709166346751,-3.77857327685106,,,,,Europe/Madrid
8449,PA33,LA MAGDALENA,Parada,43.4689466100615,-3.7769300392847,,,,,Europe/Madrid
8705,PA34,GONZALEZ DE RIANCHO,Parada,43.4658624764255,-3.78019523081977,,,,,Europe/Madrid
8961,PA35,REINA VICTORIA 79,Parada,43.4643102311515,-3.78365764702866,,,,,Europe/Madrid
9217,PA36,SAN MARTIN,Parada,43.4635016261112,-3.78816645072118,,,,,Europe/Madrid
9473,PA37,CASTELAR 29,Parada,43.4628752088701,-3.7929696230316,,,,,Europe/Madrid
9729,PA38,CASTELAR 1,Parada,43.46309226622,-3.79616155363065,,,,,Europe/Madrid
9985,PA39,PASEO DE PEREDA,Parada,43.4619846303897,-3.80153788914147,,,,,Europe/Madrid
10241,PA40,CORREOS,Parada,43.4615090125709,-3.80692812238098,,,,,Europe/Madrid
