route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,24001ILA_0101,24001ILA_0101_2,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0101,24001ILA_0101_3,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0101,24001ILA_0101_4,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0101,24001ILA_0101_5,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0101,24001ILA_0101_6,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0101,24001ILA_0101_7,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_2,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_3,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_4,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_5,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_6,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_7,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_8,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_9,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_10,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_11,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_12,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_13,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_14,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0102,24001ILA_0102_15,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0102,24001ILA_0102_16,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_2,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_3,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0103,24001ILA_0103_4,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_5,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0103,24001ILA_0103_6,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_7,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0103,24001ILA_0103_8,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_9,GONZALEZ TREVILLA,0,,Route_380
1,24001ILA_0103,24001ILA_0103_10,PCTCAN-UNEATLANTICO,1,,Route_372
1,24001ILA_0103,24001ILA_0103_11,GONZALEZ TREVILLA,0,,Route_380
